variant,date,nav,cash,option_mv,put_contract,put_qty,put_mark,book_cost,realized_put_pnl,unrealized_put_pnl,put_total_net_pnl,cash_interest,margin_reserve,capital_shortfall,instruction_executed,execution_note,base_lots,grid_lots,total_lots,spot_close,ret
P0,2022-07-22,9999721.736,9999721.736,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,834792.0,0.0,False,,2,0,2,7034.6,-2.7826400000097173e-05
P0,2022-07-25,9972476.816295065,9972476.816295065,0.0,,0,0.0,0.0,0.0,0.0,0.0,1075.0802950645766,825432.0,0.0,False,,2,0,2,6948.91,-0.0027245677854065287
P0,2022-07-26,10004989.798622627,10004989.798622627,0.0,,0,0.0,0.0,0.0,0.0,0.0,1072.9823275615568,838919.9999999999,0.0,False,,2,0,2,7027.42,0.0032602715380030123
P0,2022-07-27,10044065.01265127,10044065.01265127,0.0,,0,0.0,0.0,0.0,0.0,0.0,1075.2140286442145,847943.9999999999,0.0,False,,2,0,2,7099.43,0.003905572600785945
P0,2022-07-28,10066343.751798926,10066343.751798926,0.0,,0,0.0,0.0,0.0,0.0,0.0,1078.7391476550083,854279.9999999999,0.0,False,,2,0,2,7150.2,0.0022180998549485853
P0,2022-07-29,10058544.361089092,10058544.361089092,0.0,,0,0.0,0.0,0.0,0.0,0.0,1080.6092901657223,850440.0,0.0,False,,2,0,2,7117.43,-0.0007747987652856336
P0,2022-08-01,10075544.505928023,10075544.505928023,0.0,,0,0.0,0.0,0.0,0.0,0.0,1080.144838930937,856392.0,0.0,False,,2,0,2,7180.45,0.0016901197855918593
P0,2022-08-02,10014785.946755374,10014785.946755374,0.0,,0,0.0,0.0,0.0,0.0,0.0,1081.4408273515246,833784.0,0.0,False,,2,0,2,6957.98,-0.006030300311501868
P0,2022-08-03,9991542.91238045,9991542.91238045,0.0,,0,0.0,0.0,0.0,0.0,0.0,1076.9656250757118,825936.0,0.0,False,,2,0,2,6916.67,-0.0023208718087933677
P0,2022-08-04,9975578.072110819,9975578.072110819,0.0,,0,0.0,0.0,0.0,0.0,0.0,1075.1597303689243,826895.9999999999,0.0,False,,2,0,2,6960.31,-0.0015978353303021109
P0,2022-08-05,10048411.246494567,10048411.246494567,0.0,,0,0.0,0.0,0.0,0.0,0.0,1073.1743837492418,849600.0,0.0,False,,2,0,2,7090.0,0.007301148249981848
P0,2022-08-08,10081170.301216643,10081170.301216643,0.0,,0,0.0,0.0,0.0,0.0,0.0,1079.0547220759101,855864.0,0.0,False,,2,0,2,7176.11,0.00326012281130561
P0,2022-08-09,10091772.463907037,10091772.463907037,0.0,,0,0.0,0.0,0.0,0.0,0.0,1082.1626903930567,859271.9999999999,0.0,False,,2,0,2,7207.4,0.0010516797528075106
P0,2022-08-10,10094375.470499432,10094375.470499432,0.0,,0,0.0,0.0,0.0,0.0,0.0,1083.006592394569,860208.0,0.0,False,,2,0,2,7212.08,0.00025793353959424614
P0,2022-08-11,10143618.672637891,10143618.672637891,0.0,,0,0.0,0.0,0.0,0.0,0.0,1083.2021384588436,874176.0,0.0,False,,2,0,2,7294.49,0.004878281205446644
P0,2022-08-12,10124786.012688566,10124786.012688566,0.0,,0,0.0,0.0,0.0,0.0,0.0,1087.3400506759456,866687.9999999999,0.0,False,,2,0,2,7228.83,-0.0018566017273623503
P0,2022-08-15,10139312.021968497,10139312.021968497,0.0,,0,0.0,0.0,0.0,0.0,0.0,1086.009279931701,871919.9999999999,0.0,False,,2,0,2,7283.5,0.001434697904896698
P0,2022-08-16,10159256.161470234,10159256.161470234,0.0,,0,0.0,0.0,0.0,0.0,0.0,1087.0995017366486,871560.0,0.0,False,,2,0,2,7324.62,0.0019670111205301044
P0,2022-08-17,10166025.64272294,10166025.64272294,0.0,,0,0.0,0.0,0.0,0.0,0.0,1089.4812527064153,873384.0,0.0,False,,2,0,2,7328.67,0.0006663363089887131
P0,2022-08-18,10179195.704098964,10179195.704098964,0.0,,0,0.0,0.0,0.0,0.0,0.0,1090.0613760240562,877992.0,0.0,False,,2,0,2,7351.44,0.001295497556161651
P0,2022-08-19,10138606.769836586,10138606.769836586,0.0,,0,0.0,0.0,0.0,0.0,0.0,1091.0657376215424,862367.9999999999,0.0,False,,2,0,2,7234.41,-0.003987440210628246
P0,2022-08-22,10154174.907094702,10154174.907094702,0.0,,0,0.0,0.0,0.0,0.0,0.0,1088.1372581169326,867887.9999999999,0.0,False,,2,0,2,7288.58,0.001535530237195104
P0,2022-08-23,10155904.223036638,10155904.223036638,0.0,,0,0.0,0.0,0.0,0.0,0.0,1089.3159419344279,870432.0,0.0,False,,2,0,2,7306.02,0.0001703059044932953
P0,2022-08-24,10051633.443413107,10051633.443413107,0.0,,0,0.0,0.0,0.0,0.0,0.0,1089.2203764688152,836376.0,0.0,False,,2,0,2,7039.41,-0.010267010926217068
P0,2022-08-25,10027194.42733516,10027194.42733516,0.0,,0,0.0,0.0,0.0,0.0,0.0,1080.9839220529075,832848.0,0.0,False,,2,0,2,7016.31,-0.002431347722291033
P0,2022-08-26,10027392.958317367,10027392.958317367,0.0,,0,0.0,0.0,0.0,0.0,0.0,1078.5309822069125,829392.0,0.0,False,,2,0,2,6980.18,1.9799255279950856e-05
P0,2022-08-29,10045351.91798963,10045351.91798963,0.0,,0,0.0,0.0,0.0,0.0,0.0,1078.9596722634485,834000.0,0.0,False,,2,0,2,7021.31,0.0017909899160146736
P0,2022-08-30,10037872.443779046,10037872.443779046,0.0,,0,0.0,0.0,0.0,0.0,0.0,1080.525789416259,832919.9999999999,0.0,False,,2,0,2,6976.72,-0.0007445706503512728
P0,2022-08-31,9958392.21888637,9958392.21888637,0.0,,0,0.0,0.0,0.0,0.0,0.0,1079.7751073247696,805224.0,0.0,False,,2,0,2,6750.74,-0.007918034955896824
P0,2022-09-01,9938745.919511797,9938745.919511797,0.0,,0,0.0,0.0,0.0,0.0,0.0,1073.7006254268204,801912.0,0.0,False,,2,0,2,6717.1,-0.0019728384806246835
P0,2022-09-02,9958297.704063244,9958297.704063244,0.0,,0,0.0,0.0,0.0,0.0,0.0,1071.7845514472992,807624.0,0.0,False,,2,0,2,6776.83,0.0019672285326324257
P0,2022-09-05,9964491.112072818,9964491.112072818,0.0,,0,0.0,0.0,0.0,0.0,0.0,1073.4080095738527,809664.0,0.0,False,,2,0,2,6791.09,0.0006219344102402768
P0,2022-09-06,10016605.007292576,10016605.007292576,0.0,,0,0.0,0.0,0.0,0.0,0.0,1073.8952197584454,825576.0,0.0,False,,2,0,2,6919.65,0.005229960530208855
P0,2022-09-07,10038483.14912909,10038483.14912909,0.0,,0,0.0,0.0,0.0,0.0,0.0,1078.1418365155687,830424.0,0.0,False,,2,0,2,6963.52,0.0021841873389822908
