variant,year,return,return_vs_p0
P0,2022,-0.008988507636691234,0.0
P0,2023,0.014093857521681574,0.0
P0,2024,0.09739137705179379,0.0
P0,2025,0.15060475041258137,0.0
P0,2026,0.06358484541326082,0.0
P-core,2022,-0.023527313633101787,-0.014538805996410553
P-core,2023,-0.0014919500069419112,-0.015585807528623485
P-core,2024,0.10761967099640324,0.010228293944609446
P-core,2025,0.16083151179800903,0.010226761385427663
P-core,2026,0.07110386138603797,0.007519015972777154
P25,2022,-0.014637176938009255,-0.005648669301318021
P25,2023,0.008254519926968795,-0.005839337594712779
P25,2024,0.10214575947336058,0.004754382421566783
P25,2025,0.15099811100416405,0.000393360591582681
P25,2026,0.06616959226996766,0.0025847468567068432
P50,2022,-0.01963685259344694,-0.010648344956755706
P50,2023,0.002425771548795197,-0.011668085972886377
P50,2024,0.10308436581718516,0.005692988765391371
P50,2025,0.153017525655204,0.0024127752426226223
P50,2026,0.06665078415092274,0.003065938737661922
P75,2022,-0.024916476569120216,-0.015927968932428982
P75,2023,-0.00333347157468622,-0.017427329096367794
P75,2024,0.10709838357629176,0.009707006524497963
P75,2025,0.1543596584877549,0.0037549080751735353
P75,2026,0.06874705600903463,0.00516221059577382
P100,2022,-0.029332248165600427,-0.020343740528909193
P100,2023,-0.009264339769830321,-0.023358197291511895
P100,2024,0.1088755999608002,0.011484222909006414
P100,2025,0.1533430572647987,0.0027383068522173204
P100,2026,0.07149975945772136,0.007914914044460541
P100-R,2022,-0.028696144030535442,-0.019707636393844208
P100-R,2023,-0.010341940898923707,-0.02443579842060528
P100-R,2024,0.09671166134184839,-0.0006797157099454054
P100-R,2025,0.14226637752873628,-0.008338372883845091
P100-R,2026,0.06254207857411131,-0.0010427668391495004
