variant,ending_nav,ending_option_mv,realized_put_pnl,unrealized_put_pnl,put_leg_net_pnl,buy_premium,sell_proceeds,fees,slippage,interest_total,invalid_orders,cap_binding_days,buy_contracts,sell_contracts,trade_legs
P0,13496361.107563218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1147733.199563227,0,0,0,0,0
P-core,13427745.590963444,28980.0,56800.99999999988,-106695.0,-49894.00000000012,6266405.0,6270313.0,82782.0,648892.0,1129011.6829634556,1,0,2311,2288,467
P25,13437122.833581578,15119.999999999998,221.00000000000364,-51456.0,-51235.0,2457804.0,2422517.0,31068.0,252047.0,1139729.9255815677,1,0,869,857,378
P50,13332331.25915191,28980.0,-47274.00000000006,-99198.0,-146472.00000000006,4709736.0,4594782.0,60498.0,481014.0,1130175.3511519292,1,0,1692,1669,439
P75,13273760.594760556,44100.0,-48071.99999999981,-149142.0,-197213.99999999983,7056694.0,6906082.0,90702.0,721872.0,1122346.6867605709,1,0,2537,2502,451
P100,13178373.355618058,57960.0,-88212.00000000003,-194910.0,-283122.0,9182676.0,8960790.0,119196.0,938466.0,1112867.447618056,1,0,3334,3288,471
P100-R,12795176.21265916,57960.0,-446850.23684210505,-204614.76315789472,-651464.9999999998,9957081.0,9404508.0,156852.0,1011013.0,1098013.3046591296,1,0,4380,4334,982
