variant,date,desired_contract,target_qty,cap_qty,raw_full_qty,protected_lots,cap_binding,selected_strike,selected_settle,atm_strike,atm_settle,gain_points,dte
P0,2022-07-22,,0,0,0,0,False,6300.0,72.8,7000.0,305.8,233.0,55
P0,2022-07-25,,0,0,0,0,False,6300.0,78.6,6900.0,287.6,209.00000000000003,52
P0,2022-07-26,,0,0,0,0,False,6200.0,38.0,7000.0,271.0,233.0,51
P0,2022-07-27,,0,0,0,0,False,6200.0,34.2,7100.0,280.6,246.40000000000003,50
P0,2022-07-28,,0,0,0,0,False,6200.0,33.8,7200.0,313.4,279.59999999999997,49
P0,2022-07-29,,0,0,0,0,False,6200.0,36.4,7100.0,270.0,233.6,48
P0,2022-08-01,,0,0,0,0,False,6200.0,32.6,7200.0,296.6,264.0,45
P0,2022-08-02,,0,0,0,0,False,6200.0,71.0,7000.0,314.0,243.0,44
P0,2022-08-03,,0,0,0,0,False,6200.0,66.4,6900.0,276.4,209.99999999999997,43
P0,2022-08-04,,0,0,0,0,False,6200.0,56.4,7000.0,311.4,254.99999999999997,42
P0,2022-08-05,,0,0,0,0,False,6200.0,36.4,7100.0,255.8,219.4,41
P0,2022-08-08,,0,0,0,0,False,6200.0,29.2,7200.0,278.6,249.40000000000003,38
P0,2022-08-09,,0,0,0,0,False,6200.0,28.2,7200.0,263.4,235.2,37
P0,2022-08-10,,0,0,0,0,False,6200.0,28.8,7200.0,256.0,227.2,36
P0,2022-08-11,,0,0,0,0,False,6200.0,21.0,7300.0,248.8,227.8,35
P0,2022-08-12,,0,0,0,0,False,6200.0,18.4,7200.0,213.2,194.79999999999998,34
P0,2022-08-15,,0,0,0,0,False,6200.0,12.0,7300.0,230.0,218.0,31
P0,2022-08-16,,0,0,0,0,False,6200.0,8.8,7300.0,191.8,183.0,30
P0,2022-08-17,,0,0,0,0,False,6200.0,7.2,7300.0,172.6,165.4,29
P0,2022-08-18,,0,0,0,0,False,6200.0,8.0,7400.0,212.2,204.2,28
P0,2022-08-19,,0,0,0,0,False,6200.0,12.0,7200.0,161.0,149.0,27
P0,2022-08-22,,0,0,0,0,False,6200.0,24.8,7300.0,286.6,261.8,59
P0,2022-08-23,,0,0,0,0,False,6200.0,24.4,7300.0,280.6,256.20000000000005,58
P0,2022-08-24,,0,0,0,0,False,6200.0,48.2,7000.0,276.0,227.8,57
P0,2022-08-25,,0,0,0,0,False,6200.0,46.4,7000.0,290.2,243.79999999999998,56
P0,2022-08-26,,0,0,0,0,False,6200.0,45.4,7000.0,301.2,255.79999999999998,55
P0,2022-08-29,,0,0,0,0,False,6200.0,39.6,7000.0,278.8,239.20000000000002,52
P0,2022-08-30,,0,0,0,0,False,6200.0,40.4,7000.0,286.0,245.6,51
P0,2022-08-31,,0,0,0,0,False,6200.0,67.0,6800.0,293.0,226.0,50
P0,2022-09-01,,0,0,0,0,False,6000.0,44.2,6700.0,254.0,209.8,49
P0,2022-09-02,,0,0,0,0,False,6000.0,41.4,6800.0,274.2,232.79999999999998,48
P0,2022-09-05,,0,0,0,0,False,6000.0,35.4,6800.0,261.2,225.79999999999998,45
P0,2022-09-06,,0,0,0,0,False,6000.0,22.4,6900.0,235.0,212.6,44
P0,2022-09-07,,0,0,0,0,False,6000.0,16.0,7000.0,264.0,248.0,43
P0,2022-09-08,,0,0,0,0,False,6000.0,17.4,6900.0,227.0,209.6,42
P0,2022-09-09,,0,0,0,0,False,6000.0,13.0,6900.0,196.2,183.2,41
P0,2022-09-13,,0,0,0,0,False,6000.0,11.4,6900.0,198.4,187.0,37
P0,2022-09-14,,0,0,0,0,False,6000.0,13.8,6800.0,183.0,169.2,36
P0,2022-09-15,,0,0,0,0,False,6000.0,29.8,6600.0,203.0,173.2,35
P0,2022-09-16,,0,0,0,0,False,5900.0,34.2,6500.0,216.8,182.60000000000002,34
P0,2022-09-19,,0,0,0,0,False,5800.0,35.0,6400.0,217.8,182.8,31
