date,spot_close,active_contract_after_close,im_close_after_actions,base_lots,grid_lots,total_lots,futures_pnl,futures_cost,futures_net_flow,p0_interest,p0_nav,margin_reserve_end,buffer_shortfall,grid_anchor,frozen_grid_anchor,pending_grid_entries,pending_grid_exits,rolled,roll_from,roll_to
2022-07-22,7034.6,IM2208,6956.6,2,0,2,0.0,278.264,-278.264,0.0,9999721.736000001,834792.0,0.0,7034.6,,0,0,False,,
2022-07-25,6948.91,IM2208,6878.6,2,0,2,-28320.000000000073,0.0,-28320.000000000073,1075.0802950645768,9972476.816295067,825432.0,0.0,7034.6,,0,0,False,,
2022-07-26,7027.42,IM2208,6991.0,2,0,2,31439.99999999978,0.0,31439.99999999978,1072.982327561557,10004989.798622629,838919.9999999999,0.0,7034.6,,0,0,False,,
2022-07-27,7099.43,IM2208,7066.2,2,0,2,38000.0,0.0,38000.0,1075.2140286442147,10044065.012651272,847943.9999999999,0.0,7099.43,,0,0,False,,
2022-07-28,7150.2,IM2208,7119.0,2,0,2,21200.0,0.0,21200.0,1078.7391476550085,10066343.751798928,854279.9999999999,0.0,7150.2,,0,0,False,,
2022-07-29,7117.43,IM2208,7087.0,2,0,2,-8879.999999999927,0.0,-8879.999999999927,1080.6092901657223,10058544.361089094,850440.0,0.0,7150.2,,0,0,False,,
2022-08-01,7180.45,IM2208,7136.6,2,0,2,15920.000000000073,0.0,15920.000000000073,1080.1448389309373,10075544.505928025,856392.0,0.0,7180.45,,0,0,False,,
2022-08-02,6957.98,IM2208,6948.2,2,0,2,-61840.000000000146,0.0,-61840.000000000146,1081.4408273515248,10014785.946755376,833784.0,0.0,7180.45,,0,0,False,,
2022-08-03,6916.67,IM2208,6882.8,2,0,2,-24319.99999999971,0.0,-24319.99999999971,1076.965625075712,9991542.912380451,825936.0,0.0,7180.45,,0,0,False,,
2022-08-04,6960.31,IM2208,6890.8,2,0,2,-17040.000000000146,0.0,-17040.000000000146,1075.1597303689246,9975578.07211082,826895.9999999999,0.0,7180.45,,0,0,False,,
2022-08-05,7090.0,IM2208,7080.0,2,0,2,71759.99999999985,0.0,71759.99999999985,1073.174383749242,10048411.246494569,849600.0,0.0,7180.45,,0,0,False,,
2022-08-08,7176.11,IM2208,7132.2,2,0,2,31680.00000000029,0.0,31680.00000000029,1079.0547220759104,10081170.301216645,855864.0,0.0,7180.45,,0,0,False,,
2022-08-09,7207.4,IM2208,7160.6,2,0,2,9519.999999999709,0.0,9519.999999999709,1082.162690393057,10091772.463907039,859271.9999999999,0.0,7207.4,,0,0,False,,
2022-08-10,7212.08,IM2208,7168.4,2,0,2,1520.0000000000728,0.0,1520.0000000000728,1083.0065923945692,10094375.470499434,860208.0,0.0,7212.08,,0,0,False,,
2022-08-11,7294.49,IM2208,7284.8,2,0,2,48160.00000000022,0.0,48160.00000000022,1083.2021384588438,10143618.672637893,874176.0,0.0,7294.49,,0,0,False,,
2022-08-12,7228.83,IM2208,7222.4,2,0,2,-19920.000000000073,0.0,-19920.000000000073,1087.3400506759458,10124786.01268857,866687.9999999999,0.0,7294.49,,0,0,False,,
2022-08-15,7283.5,IM2208,7266.0,2,0,2,13439.999999999782,0.0,13439.999999999782,1086.0092799317013,10139312.0219685,871919.9999999999,0.0,7294.49,,0,0,False,,
2022-08-16,7324.62,IM2209,7263.0,2,0,2,19440.000000000146,582.96,18857.040000000146,1087.099501736649,10159256.161470236,871560.0,0.0,7324.62,,0,0,True,IM2208,IM2209
2022-08-17,7328.67,IM2209,7278.2,2,0,2,5679.999999999927,0.0,5679.999999999927,1089.4812527064155,10166025.642722942,873384.0,0.0,7328.67,,0,0,False,,
2022-08-18,7351.44,IM2209,7316.6,2,0,2,12079.999999999927,0.0,12079.999999999927,1090.0613760240565,10179195.704098966,877992.0,0.0,7351.44,,0,0,False,,
2022-08-19,7234.41,IM2209,7186.4,2,0,2,-41679.99999999993,0.0,-41679.99999999993,1091.0657376215424,10138606.769836588,862367.9999999999,0.0,7351.44,,0,0,False,,
2022-08-22,7288.58,IM2209,7232.4,2,0,2,14479.999999999927,0.0,14479.999999999927,1088.1372581169328,10154174.907094704,867887.9999999999,0.0,7351.44,,0,0,False,,
2022-08-23,7306.02,IM2209,7253.6,2,0,2,640.0000000001455,0.0,640.0000000001455,1089.315941934428,10155904.223036638,870432.0,0.0,7351.44,,0,0,False,,
2022-08-24,7039.41,IM2209,6969.8,2,0,2,-105359.99999999985,0.0,-105359.99999999985,1089.2203764688152,10051633.443413107,836376.0,0.0,7351.44,,0,0,False,,
2022-08-25,7016.31,IM2209,6940.4,2,0,2,-25520.000000000073,0.0,-25520.000000000073,1080.9839220529075,10027194.42733516,832848.0,0.0,7351.44,,0,0,False,,
2022-08-26,6980.18,IM2209,6911.6,2,0,2,-879.9999999999272,0.0,-879.9999999999272,1078.5309822069125,10027392.958317367,829392.0,0.0,7351.44,,0,0,False,,
2022-08-29,7021.31,IM2209,6950.0,2,0,2,16879.999999999927,0.0,16879.999999999927,1078.9596722634485,10045351.91798963,834000.0,0.0,7351.44,,0,0,False,,
2022-08-30,6976.72,IM2209,6941.0,2,0,2,-8560.000000000218,0.0,-8560.000000000218,1080.525789416259,10037872.443779046,832919.9999999999,0.0,7351.44,,0,0,False,,
2022-08-31,6750.74,IM2209,6710.2,2,0,2,-80559.99999999985,0.0,-80559.99999999985,1079.7751073247696,9958392.21888637,805224.0,0.0,7351.44,,0,0,False,,
2022-09-01,6717.1,IM2209,6682.6,2,0,2,-20720.000000000073,0.0,-20720.000000000073,1073.7006254268204,9938745.919511797,801912.0,0.0,7351.44,,0,0,False,,
2022-09-02,6776.83,IM2209,6730.2,2,0,2,18479.999999999927,0.0,18479.999999999927,1071.7845514472992,9958297.704063244,807624.0,0.0,7351.44,,0,0,False,,
2022-09-05,6791.09,IM2209,6747.2,2,0,2,5120.000000000073,0.0,5120.000000000073,1073.4080095738527,9964491.112072818,809664.0,0.0,7351.44,,0,0,False,,
2022-09-06,6919.65,IM2209,6879.8,2,0,2,51040.000000000146,0.0,51040.000000000146,1073.8952197584454,10016605.007292576,825576.0,0.0,7351.44,,0,0,False,,
2022-09-07,6963.52,IM2209,6920.2,2,0,2,20800.0,0.0,20800.0,1078.1418365155687,10038483.14912909,830424.0,0.0,7351.44,,0,0,False,,
2022-09-08,6897.1,IM2209,6874.4,2,0,2,-16879.999999999927,0.0,-16879.999999999927,1080.1395354001193,10022683.288664492,824927.9999999999,0.0,7351.44,,0,0,False,,
2022-09-09,6913.58,IM2209,6913.0,2,0,2,13839.999999999782,0.0,13839.999999999782,1078.9308543007899,10037602.219518792,829560.0,0.0,7351.44,,0,0,False,,
2022-09-13,6904.08,IM2210,6836.4,2,0,2,-7520.000000000073,549.1120000000001,-8069.112000000073,1080.1375494939573,10030613.245068286,820367.9999999999,0.0,7351.44,,0,0,True,IM2209,IM2210
2022-09-14,6829.56,IM2210,6767.0,2,0,2,-29439.99999999978,0.0,-29439.99999999978,1080.3959725725852,10002253.641040858,812040.0,0.0,7351.44,,0,0,False,,
2022-09-15,6619.19,IM2210,6518.6,2,0,2,-106400.0,0.0,-106400.0,1078.0461910261067,9896931.687231883,782232.0,0.0,7351.44,,0,0,False,,
2022-09-16,6481.24,IM2210,6383.2,2,0,2,-39920.00000000007,0.0,-39920.00000000007,1069.188123797991,9858080.875355681,765983.9999999999,0.0,7351.44,,0,0,False,,
2022-09-19,6399.8,IM2210,6298.2,2,0,2,-39520.00000000007,0.0,-39520.00000000007,1066.536730021811,9819627.412085703,755783.9999999999,0.0,7351.44,,0,0,False,,
2022-09-20,6482.13,IM2210,6388.8,2,0,2,29600.0,0.0,29600.0,1063.2224938515574,9850290.634579554,766656.0,0.0,7351.44,,0,0,False,,
2022-09-21,6480.6,IM2210,6412.6,2,0,2,20879.999999999927,0.0,20879.999999999927,1065.5440777514102,9872236.178657306,769512.0,0.0,7351.44,,0,0,False,,
2022-09-22,6487.27,IM2210,6435.8,2,0,2,5600.0,0.0,5600.0,1067.7833521671369,9878903.962009473,772296.0,0.0,7351.44,,0,0,False,,
2022-09-23,6363.68,IM2210,6323.4,2,0,2,-42000.0,0.0,-42000.0,1068.2389343780744,9837972.20094385,758807.9999999999,0.0,7351.44,,0,0,False,,
2022-09-26,6283.59,IM2210,6255.0,2,0,2,-23839.99999999978,0.0,-23839.99999999978,1065.0196792834915,9815197.220623134,750600.0,0.0,7351.44,7351.44,1,0,False,,
2022-09-27,6409.78,IM2210,6398.8,2,1,3,41439.99999999978,127.976,41312.02399999978,1063.3109183925183,9857572.555541527,1151783.9999999998,0.0,7351.44,7351.44,0,0,False,,
2022-09-28,6211.11,IM2210,6202.6,2,1,3,-86600.0,0.0,-86600.0,1021.2213294224647,9771993.77687095,1116468.0,0.0,7351.44,7351.44,0,0,False,,
2022-09-29,6228.78,IM2210,6232.4,2,1,3,-15119.99999999989,0.0,-15119.99999999989,1015.3253188167671,9757889.102189766,1121831.9999999998,0.0,7351.44,7351.44,0,0,False,,
2022-09-30,6124.86,IM2210,6103.0,2,1,3,-55560.00000000022,0.0,-55560.00000000022,1013.0415709732296,9703342.143760739,1098540.0,0.0,7351.44,7351.44,0,0,False,,
2022-10-10,5984.5,IM2210,5976.0,2,1,3,-86639.99999999978,0.0,-86639.99999999978,1009.3752482737633,9617711.519009013,1075680.0,0.0,7351.44,7351.44,0,0,False,,
2022-10-11,6017.72,IM2210,5994.2,2,1,3,11160.000000000218,0.0,11160.000000000218,1002.0120208706772,9629873.531029884,1078956.0,0.0,7351.44,7351.44,0,0,False,,
2022-10-12,6192.65,IM2210,6169.2,2,1,3,83039.99999999978,0.0,83039.99999999978,1003.054383081903,9713916.585412966,1110455.9999999998,0.0,7351.44,7351.44,0,0,False,,
2022-10-13,6252.22,IM2210,6242.4,2,1,3,66000.0,0.0,66000.0,1009.217878497244,9780925.803291464,1123631.9999999998,0.0,7351.44,7351.44,0,0,False,,
2022-10-14,6406.46,IM2210,6418.0,2,1,3,99600.0,0.0,99600.0,1015.5327148820509,9881541.336006347,1155240.0,0.0,7351.44,7351.44,0,0,False,,
2022-10-17,6472.45,IM2210,6448.0,2,1,3,33360.00000000022,0.0,33360.00000000022,1023.6275547520589,9915924.963561099,1160640.0,0.0,7351.44,7351.44,0,0,False,,
2022-10-18,6508.5,IM2211,6447.4,2,1,3,18359.999999999673,776.6760000000002,17583.323999999673,1027.0274419046257,9934535.315003006,1160531.9999999998,0.0,7351.44,7351.44,0,0,True,IM2210,IM2211
2022-10-19,6461.15,IM2211,6409.4,2,1,3,-17639.99999999978,0.0,-17639.99999999978,1029.2231740456198,9917924.53817705,1153691.9999999998,0.0,7351.44,7351.44,0,0,False,,
2022-10-20,6429.7,IM2211,6366.0,2,1,3,-29519.99999999989,0.0,-29519.99999999989,1028.0770256368878,9889432.615202688,1145880.0,0.0,7351.44,7351.44,0,0,False,,
2022-10-21,6432.33,IM2211,6377.4,2,1,3,-119.99999999989086,0.0,-119.99999999989086,1025.6511938701847,9890338.266396558,1147931.9999999998,0.0,7351.44,7351.44,0,0,False,,
2022-10-24,6378.43,IM2211,6360.0,2,1,3,-21840.000000000327,0.0,-21840.000000000327,1025.516722897876,9869523.783119455,1144799.9999999998,0.0,7351.44,7351.44,0,0,False,,
2022-10-25,6355.78,IM2211,6340.8,2,1,3,6119.999999999891,0.0,6119.999999999891,1023.4425019396562,9876667.225621395,1141343.9999999998,0.0,7351.44,7351.44,0,0,False,,
2022-10-26,6491.69,IM2211,6500.6,2,1,3,80280.00000000012,0.0,80280.00000000012,1024.6858559097084,9957971.911477305,1170108.0,0.0,7351.44,7351.44,0,0,False,,
2022-10-27,6461.61,IM2211,6473.0,2,1,3,5160.000000000218,0.0,5160.000000000218,1030.8490734880158,9964162.760550793,1165140.0,0.0,7351.44,7351.44,0,0,False,,
2022-10-28,6239.93,IM2211,6224.2,2,1,3,-140400.0,0.0,-140400.0,1032.1580479264542,9824794.918598719,1120355.9999999998,0.0,7351.44,7351.44,0,0,False,,
2022-10-31,6292.62,IM2211,6286.6,2,1,3,14039.999999999782,0.0,14039.999999999782,1021.0630119967452,9839855.981610715,1131588.0,0.0,7351.44,7351.44,0,0,False,,
2022-11-01,6439.82,IM2211,6471.0,2,1,3,93360.00000000022,0.0,93360.00000000022,1021.5121753085585,9934237.493786024,1164780.0,0.0,7351.44,7351.44,0,0,False,,
2022-11-02,6524.51,IM2211,6532.0,2,1,3,59400.0,0.0,59400.0,1028.6899323344405,9994666.18371836,1175759.9999999998,0.0,7351.44,7351.44,0,0,False,,
2022-11-03,6566.84,IM2211,6563.4,2,1,3,23039.99999999978,0.0,23039.99999999978,1034.4904473077515,10018740.674165666,1181412.0,0.0,7351.44,7351.44,0,0,False,,
2022-11-04,6709.64,IM2211,6746.6,2,1,3,98400.0,0.0,98400.0,1036.6514738553003,10118177.325639522,1214388.0,0.0,7351.44,7351.44,0,0,False,,
2022-11-07,6713.64,IM2211,6711.8,2,1,3,-8519.99999999989,0.0,-8519.99999999989,1044.4475550970405,10110701.773194619,1208124.0,0.0,7351.44,7351.44,0,0,False,,
2022-11-08,6694.96,IM2211,6707.6,2,1,3,-17160.00000000022,0.0,-17160.00000000022,1044.305435495748,10094586.078630114,1207368.0,0.0,7351.44,7351.44,0,0,False,,
2022-11-09,6676.01,IM2211,6674.8,2,1,3,-3119.999999999891,0.0,-3119.999999999891,1042.5036862799689,10092508.582316393,1201464.0,0.0,7351.44,7351.44,0,0,False,,
2022-11-10,6603.31,IM2211,6616.0,2,1,3,-38400.0,0.0,-38400.0,1042.9525493733706,10055151.534865767,1190880.0,0.0,7351.44,7351.44,0,0,False,,
2022-11-11,6643.48,IM2211,6645.0,2,1,3,39960.00000000022,0.0,39960.00000000022,1039.8119714767463,10096151.346837243,1196099.9999999998,0.0,7351.44,7351.44,0,0,False,,
2022-11-14,6599.67,IM2211,6592.2,2,1,3,-58680.00000000011,0.0,-58680.00000000011,1044.0090763012988,10038515.355913544,1186596.0,0.0,7351.44,7351.44,0,0,False,,
2022-11-15,6752.51,IM2212,6742.8,2,1,3,99000.0,809.748,98190.25200000001,1038.3630150117028,10137743.970928557,1213704.0,0.0,7351.44,7351.44,0,0,True,IM2211,IM2212
2022-11-16,6702.04,IM2212,6684.2,2,1,3,-33719.99999999989,0.0,-33719.99999999989,1046.8230309969883,10105070.793959554,1203155.9999999998,0.0,7351.44,7351.44,0,0,False,,
2022-11-17,6714.5,IM2212,6707.0,2,1,3,-3600.0,0.0,-3600.0,1044.22766556928,10102515.021625124,1207259.9999999998,0.0,7351.44,7351.44,0,0,False,,
2022-11-18,6658.4,IM2212,6646.4,2,1,3,-9720.000000000437,0.0,-9720.000000000437,1043.4464495411594,10093838.468074664,1196351.9999999998,0.0,7351.44,7351.44,0,0,False,,
2022-11-21,6689.33,IM2212,6685.0,2,1,3,12600.0,0.0,12600.0,1043.7082064969131,10107482.176281162,1203299.9999999998,0.0,7351.44,7351.44,0,0,False,,
2022-11-22,6583.23,IM2212,6557.2,2,1,3,-83879.99999999956,0.0,-83879.99999999956,1044.493637936287,10024646.669919098,1180296.0,0.0,7351.44,7351.44,0,0,False,,
2022-11-23,6567.99,IM2212,6553.4,2,1,3,600.0,0.0,600.0,1037.4751800357076,10026284.145099133,1179612.0,0.0,7351.44,7351.44,0,0,False,,
2022-11-24,6586.86,IM2212,6559.2,2,1,3,10800.0,0.0,10800.0,1037.7474976959002,10038121.89259683,1180655.9999999998,0.0,7351.44,7351.44,0,0,False,,
2022-11-25,6512.16,IM2212,6497.0,2,1,3,-37680.00000000011,0.0,-37680.00000000011,1039.0136443635713,10001480.906241193,1169459.9999999998,0.0,7351.44,7351.44,0,0,False,,
2022-11-28,6492.71,IM2212,6492.0,2,1,3,-12600.0,0.0,-12600.0,1036.0288529655882,9989916.93509416,1168559.9999999998,0.0,7351.44,7351.44,0,0,False,,
2022-11-29,6594.32,IM2212,6597.0,2,1,3,70800.0,0.0,70800.0,1034.7779295458176,10061751.713023705,1187459.9999999998,0.0,7351.44,7351.44,0,0,False,,
2022-11-30,6590.31,IM2212,6582.8,2,1,3,-15719.99999999989,0.0,-15719.99999999989,1040.9873755879553,10047072.700399293,1184904.0,0.0,7351.44,7351.44,0,0,False,,
2022-12-01,6658.43,IM2212,6662.0,2,1,3,60239.99999999978,0.0,60239.99999999978,1039.5653011842498,10108352.265700476,1199159.9999999998,0.0,7351.44,7351.44,0,0,False,,
2022-12-02,6680.54,IM2212,6681.8,2,1,3,10439.999999999782,0.0,10439.999999999782,1045.0813400318154,10119837.347040508,1202724.0,0.0,7351.44,7351.44,0,0,False,,
2022-12-05,6714.37,IM2212,6703.0,2,1,3,3360.0000000002183,0.0,3360.0000000002183,1046.010512290586,10124243.357552798,1206540.0,0.0,7351.44,7351.44,0,0,False,,
2022-12-06,6703.55,IM2212,6697.8,2,1,3,-5280.000000000109,0.0,-5280.000000000109,1046.079722714879,10120009.437275514,1205604.0,0.0,7351.44,7351.44,0,0,False,,
2022-12-07,6705.29,IM2212,6695.2,2,1,3,1440.0000000003274,0.0,1440.0000000003274,1045.6928644184234,10122495.130139932,1205135.9999999998,0.0,7351.44,7351.44,0,0,False,,
2022-12-08,6662.34,IM2212,6663.8,2,1,3,-22080.00000000011,0.0,-22080.00000000011,1046.039343560946,10101461.169483492,1199483.9999999998,0.0,7351.44,7351.44,0,0,False,,
2022-12-09,6680.38,IM2212,6684.8,2,1,3,14759.999999999673,0.0,14759.999999999673,1044.2349824498901,10117265.404465942,1203264.0,0.0,7351.44,7351.44,0,0,False,,
2022-12-12,6655.67,IM2212,6654.6,2,1,3,-6959.999999999673,0.0,-6959.999999999673,1045.6454698693497,10111351.04993581,1197828.0,0.0,7351.44,7351.44,0,0,False,,
2022-12-13,6593.67,IM2301,6580.0,2,1,3,-36600.0,791.0880000000001,-37391.08800000001,1045.5893571064357,10075005.551292915,1184399.9999999998,0.0,7351.44,7351.44,0,0,True,IM2212,IM2301
2022-12-14,6570.02,IM2301,6539.0,2,1,3,-28439.99999999978,0.0,-28439.99999999978,1042.9010494038282,10047608.452342318,1177020.0,0.0,7351.44,7351.44,0,0,False,,
2022-12-15,6597.55,IM2301,6567.0,2,1,3,21600.0,0.0,21600.0,1040.5529693567316,10070249.005311675,1182059.9999999998,0.0,7351.44,7351.44,0,0,False,,
2022-12-16,6519.44,IM2301,6531.8,2,1,3,-35520.00000000044,0.0,-35520.00000000044,1042.617579585577,10035771.62289126,1175724.0,0.0,7351.44,7351.44,0,0,False,,
