variant,window,cagr,max_dd,vol,sharpe,calmar,worst_5d,worst_20d,worst_60d,cagr_vs_p0,max_dd_improvement_vs_p0,ending_nav,ending_nav_diff_vs_p0_full,put_leg_net_pnl,interest_opportunity_cost,avg_put_qty,median_put_qty,max_put_qty,avg_put_mv_nav,max_put_mv_nav,capital_shortfall_days,cap_binding_days,invalid_orders,trade_legs
P0,full,0.07658822782210839,-0.13601833958646492,0.08435714227083631,0.9505646219920033,0.563072803674554,-0.06687699347434473,-0.08125992111364067,-0.10399462578434027,0.0,0.0,13496361.107563218,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0
P0,last_3y,0.09935780138623596,-0.1142781544660545,0.09179256905470178,1.1177830350998912,0.8694382740994429,-0.06687699347434473,-0.08125992111364067,-0.10399462578434027,0.0,0.0,13496361.107563218,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0
P0,last_1y,0.1070244468328958,-0.06712776201234982,0.07168299821488636,1.5059471921470198,1.5943395642060283,-0.04239232924328251,-0.065657952658017,-0.04711615884527087,0.0,0.0,13496361.107563218,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0
P-core,full,0.07523850205351268,-0.09516604194314093,0.07317911193728562,1.065865459565578,0.7906024094021437,-0.038891396603076056,-0.03912995991885304,-0.05577712130370438,-0.001349725768595711,0.04085229764332399,13427745.590963444,-68615.51659977436,-49894.00000000012,18721.516599771334,25.810344827586206,23.0,63,0.002587529289467914,0.05936016715036808,0,0,1,467
P-core,last_3y,0.10753524158327998,-0.07348148420312506,0.07963974651777606,1.3719002884501659,1.4634331729884502,-0.038891396603076056,-0.03912995991885304,-0.05577712130370438,0.008177440197044028,0.040796670262929435,13427745.590963444,-68615.51659977436,-49894.00000000012,18721.516599771334,25.810344827586206,23.0,63,0.002587529289467914,0.05936016715036808,0,0,1,467
P-core,last_1y,0.09826591531856521,-0.03547742353713734,0.050664748052706536,1.9428312505512115,2.7698154353204827,-0.014229348608574499,-0.028339654635020417,-0.0258297881056474,-0.008758531514330592,0.03165033847521248,13427745.590963444,-68615.51659977436,-49894.00000000012,18721.516599771334,25.810344827586206,23.0,63,0.002587529289467914,0.05936016715036808,0,0,1,467
P25,full,0.07542326670620003,-0.11133083004989319,0.07640864377135043,1.0263552201726527,0.6774697239964789,-0.046755251530707476,-0.056845506225560394,-0.07623866965223502,-0.0011649611159083584,0.024687509536571728,13437122.833581578,-59238.273981640115,-51235.0,8003.2739816592075,9.612576064908723,9.0,25,0.0009618796746320329,0.022011396484097175,0,0,1,378
P25,last_3y,0.10161228641793096,-0.08677343559236872,0.08254145907593763,1.2590694729097727,1.1710068377984937,-0.046755251530707476,-0.056845506225560394,-0.07623866965223502,0.0022544850316950082,0.027504718873685774,13437122.833581578,-59238.273981640115,-51235.0,8003.2739816592075,9.612576064908723,9.0,25,0.0009618796746320329,0.022011396484097175,0,0,1,378
P25,last_1y,0.10540614552362193,-0.05142278798035249,0.06185434526322923,1.7101235402871429,2.0497944522940936,-0.02829904689108953,-0.050351413613002216,-0.03894453890756888,-0.001618301309273873,0.015704974031997332,13437122.833581578,-59238.273981640115,-51235.0,8003.2739816592075,9.612576064908723,9.0,25,0.0009618796746320329,0.022011396484097175,0,0,1,378
P50,full,0.073352951618459,-0.09768467662294766,0.07254830194778014,1.0494125012491935,0.7509156415759404,-0.0387960425891557,-0.04384465376986424,-0.059873103651996384,-0.0032352762036493843,0.03833366296351726,13332331.25915191,-164029.8484113086,-146472.00000000006,17557.84841129766,18.711967545638945,17.0,50,0.001855542042200938,0.04333228912337365,0,0,1,439
P50,last_3y,0.1023101868147811,-0.07326687480676508,0.07829781130408212,1.331353065774048,1.3964044062834016,-0.0387960425891557,-0.04384465376986424,-0.059873103651996384,0.0029523854285451456,0.04101127965928941,13332331.25915191,-164029.8484113086,-146472.00000000006,17557.84841129766,18.711967545638945,17.0,50,0.001855542042200938,0.04333228912337365,0,0,1,439
P50,last_1y,0.1017590050349435,-0.042570934166212604,0.05550660535568171,1.8372778409949686,2.390339959128895,-0.01935554423006658,-0.03894320954094921,-0.03225301974532857,-0.005265441797952297,0.02455682784613722,13332331.25915191,-164029.8484113086,-146472.00000000006,17557.84841129766,18.711967545638945,17.0,50,0.001855542042200938,0.04333228912337365,0,0,1,439
P75,full,0.07219045057504458,-0.08440668471645563,0.07202135347993603,1.0409217978154932,0.8552693523925433,-0.039528227579041286,-0.03498289828991663,-0.05607693920378842,-0.0043977772470638055,0.051611654870009294,13273760.594760556,-222600.51280266233,-197213.99999999983,25386.51280265604,28.07707910750507,26.0,75,0.0027975167226856794,0.06376785563339381,0,0,1,451
P75,last_3y,0.10443580997308644,-0.07525711080731956,0.07817040640877107,1.3589899904386584,1.3877201616266264,-0.039528227579041286,-0.03498289828991663,-0.05607693920378842,0.00507800858685048,0.03902104365873493,13273760.594760556,-222600.51280266233,-197213.99999999983,25386.51280265604,28.07707910750507,26.0,75,0.0027975167226856794,0.06376785563339381,0,0,1,451
P75,last_1y,0.09984428896882691,-0.0326752023873601,0.05119762742039395,1.952222666342345,3.05565938919632,-0.01501826282421126,-0.0271281925171174,-0.023335018555587173,-0.007180157864068892,0.03445255962498972,13273760.594760556,-222600.51280266233,-197213.99999999983,25386.51280265604,28.07707910750507,26.0,75,0.0027975167226856794,0.06376785563339381,0,0,1,451
P100,full,0.07028891565292583,-0.07796668803017681,0.07496844102689056,0.9782697971411348,0.9015249644273806,-0.04033000220911653,-0.03286171760300549,-0.0564096987339473,-0.006299312169182558,0.05805165155628811,13178373.355618058,-317987.75194516033,-283122.0,34865.75194517081,36.92393509127789,34.0,99,0.0036634286458126753,0.08368749358182304,0,0,1,471
P100,last_3y,0.10516969415990118,-0.07715564833093247,0.08223672775429554,1.3041172732416688,1.3630848348109545,-0.04033000220911653,-0.03286171760300549,-0.0564096987339473,0.005811892773665228,0.037122506135122024,13178373.355618058,-317987.75194516033,-283122.0,34865.75194517081,36.92393509127789,34.0,99,0.0036634286458126753,0.08368749358182304,0,0,1,471
P100,last_1y,0.09897033881160766,-0.028176607766612793,0.05042252073636832,1.9651103926380535,3.512500143075428,-0.014568145984126923,-0.02015782007272826,-0.016089941280585607,-0.008054108021288142,0.03895115424573703,13178373.355618058,-317987.75194516033,-283122.0,34865.75194517081,36.92393509127789,34.0,99,0.0036634286458126753,0.08368749358182304,0,0,1,471
P100-R,full,0.06254369744257593,-0.09081902943437015,0.0748962958970545,0.8784400358091349,0.6886629138420024,-0.03967762082441373,-0.036097544794097436,-0.05913750926156247,-0.01404453037953246,0.045199310152094774,12795176.21265916,-701184.8949040584,-651464.9999999998,49719.89490409731,33.91683569979716,31.0,99,0.0033820288812535892,0.08483688961512637,0,0,1,982
