variant,date,contract,side,qty,center_close,exec_price,fee,slippage_cash,reason
P-core,2023-01-19,MO2302-P-5500,sell,38,1.6,1.4000000000000001,684.0,760.0,contract_switch
P-core,2023-01-19,MO2303-P-5200,buy,35,3.8,4.0,630.0,700.0,new_contract
P-core,2023-01-30,MO2303-P-5200,buy,8,2.0,2.2,144.0,160.0,target_increase
P-core,2023-02-01,MO2303-P-5200,buy,1,2.0,2.2,18.0,20.0,target_increase
P-core,2023-02-02,MO2303-P-5200,buy,1,1.8,2.0,18.0,20.0,target_increase
P-core,2023-02-10,MO2303-P-5200,buy,5,1.2,1.4,90.0,100.0,target_increase
P-core,2023-02-17,MO2303-P-5200,buy,3,1.0,1.2,54.0,60.00000000000001,target_increase
P-core,2023-02-21,MO2303-P-5200,sell,53,0.8,0.6000000000000001,954.0,1060.0000000000002,contract_switch
P-core,2023-02-21,MO2304-P-6000,buy,17,8.4,8.82,306.0,714.0,new_contract
P-core,2023-02-22,MO2304-P-6000,buy,1,7.8,8.19,18.0,39.0,target_increase
P-core,2023-02-23,MO2304-P-6000,buy,1,8.2,8.61,18.0,41.0,target_increase
P-core,2023-02-27,MO2304-P-6000,buy,4,11.6,12.18,72.0,231.99999999999997,target_increase
P-core,2023-03-14,MO2304-P-6000,buy,2,10.0,10.5,36.0,100.0,target_increase
P-core,2023-03-20,MO2304-P-6000,buy,1,8.0,8.4,18.0,40.0,target_increase
P-core,2023-03-22,MO2304-P-6000,buy,1,3.6,3.8000000000000003,18.0,20.0,target_increase
P-core,2023-03-23,MO2304-P-6000,sell,27,2.8,2.5999999999999996,486.0,540.0,contract_switch
P-core,2023-03-23,MO2305-P-6000,buy,22,8.6,9.03,396.0,945.9999999999999,new_contract
P-core,2023-03-29,MO2305-P-6000,buy,3,6.4,6.720000000000001,54.0,96.00000000000001,target_increase
P-core,2023-04-10,MO2305-P-6000,buy,7,2.2,2.4000000000000004,126.0,140.0,target_increase
P-core,2023-04-17,MO2305-P-6000,buy,1,1.2,1.4,18.0,20.0,target_increase
P-core,2023-04-18,MO2305-P-6000,buy,3,1.0,1.2,54.0,60.00000000000001,target_increase
P-core,2023-04-20,MO2305-P-6000,sell,36,1.8,1.6,648.0,720.0,contract_switch
P-core,2023-04-20,MO2306-P-5200,buy,34,2.0,2.2,612.0,680.0000000000001,new_contract
P-core,2023-04-21,MO2306-P-5200,buy,1,2.2,2.4000000000000004,18.0,20.0,target_increase
P-core,2023-04-24,MO2306-P-5200,buy,1,2.2,2.4000000000000004,18.0,20.0,target_increase
P-core,2023-04-25,MO2306-P-5200,buy,3,2.8,3.0,54.0,60.00000000000001,target_increase
P-core,2023-04-28,MO2306-P-5200,buy,1,1.6,1.8,18.0,20.0,target_increase
P-core,2023-05-04,MO2306-P-5200,buy,3,1.6,1.8,54.0,60.00000000000001,target_increase
P-core,2023-05-05,MO2306-P-5200,buy,2,1.6,1.8,36.0,40.0,target_increase
P-core,2023-05-11,MO2306-P-5200,buy,2,1.4,1.5999999999999999,36.0,40.0,target_increase
P-core,2023-05-22,MO2306-P-5200,buy,8,0.8,1.0,144.0,160.0,target_increase
P-core,2023-05-23,MO2306-P-5200,sell,55,0.6,0.39999999999999997,990.0,1100.0,contract_switch
P-core,2023-05-23,MO2307-P-5800,buy,21,7.8,8.19,378.0,819.0,new_contract
P-core,2023-05-29,MO2307-P-5800,buy,4,6.2,6.51,72.0,124.00000000000003,target_increase
P-core,2023-06-05,MO2307-P-5800,buy,1,4.0,4.2,18.0,20.0,target_increase
P-core,2023-06-06,MO2307-P-5800,buy,2,7.8,8.19,36.0,78.0,target_increase
P-core,2023-06-12,MO2307-P-5800,sell,28,4.0,3.8,504.0,560.0,contract_switch
P-core,2023-06-12,MO2307-P-5700,buy,25,2.8,3.0,450.0,500.0,new_contract
P-core,2023-06-13,MO2307-P-5700,buy,5,2.6,2.8000000000000003,90.0,100.0,target_increase
P-core,2023-06-16,MO2307-P-5700,buy,3,1.4,1.5999999999999999,54.0,60.00000000000001,target_increase
P-core,2023-06-21,MO2307-P-5700,buy,1,1.4,1.5999999999999999,18.0,20.0,target_increase
P-core,2023-06-26,MO2307-P-5700,sell,34,2.2,2.0,612.0,680.0000000000001,contract_switch
P-core,2023-06-26,MO2308-P-5700,buy,27,6.2,6.51,486.0,837.0000000000001,new_contract
P-core,2023-07-05,MO2308-P-5700,buy,3,2.2,2.4000000000000004,54.0,60.00000000000001,target_increase
P-core,2023-07-14,MO2308-P-5700,buy,6,2.0,2.2,108.0,120.00000000000001,target_increase
P-core,2023-07-17,MO2308-P-5700,buy,1,1.8,2.0,18.0,20.0,target_increase
P-core,2023-07-20,MO2308-P-5700,sell,37,2.0,1.8,666.0,740.0,contract_switch
P-core,2023-07-20,MO2309-P-5200,buy,33,1.8,2.0,594.0,660.0,new_contract
P-core,2023-07-21,MO2309-P-5200,buy,1,1.8,2.0,18.0,20.0,target_increase
P-core,2023-07-24,MO2309-P-5200,buy,1,1.6,1.8,18.0,20.0,target_increase
P-core,2023-07-26,MO2309-P-5200,buy,1,1.4,1.5999999999999999,18.0,20.0,target_increase
P-core,2023-07-28,MO2309-P-5200,buy,3,1.2,1.4,54.0,60.00000000000001,target_increase
P-core,2023-08-01,MO2309-P-5200,buy,2,1.4,1.5999999999999999,36.0,40.0,target_increase
P-core,2023-08-07,MO2309-P-5200,buy,7,1.2,1.4,126.0,140.0,target_increase
P-core,2023-08-10,MO2309-P-5200,buy,2,1.0,1.2,36.0,40.0,target_increase
P-core,2023-08-18,MO2309-P-5200,buy,5,2.2,2.4000000000000004,90.0,100.0,target_increase
P-core,2023-08-22,MO2309-P-5200,sell,55,1.8,1.6,990.0,1100.0,contract_switch
P-core,2023-08-22,MO2310-P-5500,buy,15,15.2,15.959999999999999,270.0,1140.0,new_contract
P-core,2023-08-23,MO2310-P-5500,sell,15,27.0,25.65,270.0,2025.0,contract_switch
P-core,2023-08-23,MO2310-P-5400,buy,20,18.2,19.11,360.0,1820.0,new_contract
P-core,2023-08-25,MO2310-P-5400,sell,20,33.2,31.540000000000003,360.0,3320.0000000000005,contract_switch
P-core,2023-08-25,MO2310-P-5300,buy,19,23.4,24.57,342.0,2222.9999999999995,new_contract
P-core,2023-08-29,MO2310-P-5300,sell,19,7.8,7.41,342.0,741.0,contract_switch
P-core,2023-08-29,MO2310-P-5200,buy,19,5.6,5.88,342.0,531.9999999999999,new_contract
P-core,2023-08-30,MO2310-P-5200,buy,5,4.2,4.41,90.0,105.0,target_increase
P-core,2023-08-31,MO2310-P-5200,buy,6,4.2,4.41,108.0,126.00000000000003,target_increase
P-core,2023-09-05,MO2310-P-5200,buy,2,2.6,2.8000000000000003,36.0,40.0,target_increase
P-core,2023-09-20,MO2310-P-5200,buy,6,2.2,2.4000000000000004,108.0,120.00000000000001,target_increase
P-core,2023-09-21,MO2310-P-5200,sell,38,3.0,2.8,684.0,760.0,contract_switch
P-core,2023-09-21,MO2311-P-5200,buy,21,7.2,7.5600000000000005,378.0,756.0,new_contract
P-core,2023-09-22,MO2311-P-5200,buy,3,4.2,4.41,54.0,63.000000000000014,target_increase
P-core,2023-09-26,MO2311-P-5200,buy,2,4.2,4.41,36.0,42.00000000000001,target_increase
P-core,2023-09-28,MO2311-P-5200,buy,3,3.2,3.4000000000000004,54.0,60.00000000000001,target_increase
P-core,2023-10-11,MO2311-P-5200,buy,6,1.8,2.0,108.0,120.00000000000001,target_increase
P-core,2023-10-17,MO2311-P-5200,buy,1,2.4,2.6,18.0,20.0,target_increase
P-core,2023-10-19,MO2311-P-5200,sell,36,6.0,5.7,648.0,1080.0,contract_switch
P-core,2023-10-19,MO2312-P-5200,buy,21,11.0,11.55,378.0,1155.0,new_contract
P-core,2023-10-24,MO2312-P-5200,sell,21,32.4,30.779999999999998,378.0,3402.0000000000005,contract_switch
P-core,2023-10-24,MO2312-P-5100,buy,16,23.2,24.36,288.0,1855.9999999999998,new_contract
P-core,2023-10-25,MO2312-P-5100,sell,16,13.8,13.110000000000001,288.0,1104.0,contract_switch
P-core,2023-10-25,MO2312-P-5000,buy,19,9.2,9.66,342.0,873.9999999999999,new_contract
P-core,2023-10-27,MO2312-P-5000,buy,3,3.6,3.8000000000000003,54.0,60.00000000000001,target_increase
P-core,2023-10-30,MO2312-P-5000,buy,6,2.8,3.0,108.0,120.00000000000001,target_increase
P-core,2023-11-07,MO2312-P-5000,buy,5,1.8,2.0,90.0,100.0,target_increase
P-core,2023-11-08,MO2312-P-5000,buy,2,1.4,1.5999999999999999,36.0,40.0,target_increase
P-core,2023-11-09,MO2312-P-5000,buy,4,1.4,1.5999999999999999,72.0,80.0,target_increase
P-core,2023-11-14,MO2312-P-5000,buy,2,1.0,1.2,36.0,40.0,target_increase
P-core,2023-11-17,MO2312-P-5000,buy,1,1.0,1.2,18.0,20.0,target_increase
P-core,2023-11-21,MO2312-P-5000,sell,42,0.6,0.39999999999999997,756.0,840.0,contract_switch
P-core,2023-11-21,MO2401-P-5000,buy,24,1.6,1.8,432.0,480.00000000000006,new_contract
P-core,2023-11-22,MO2401-P-5000,buy,4,2.0,2.2,72.0,80.0,target_increase
P-core,2023-11-23,MO2401-P-5000,buy,2,1.8,2.0,36.0,40.0,target_increase
P-core,2023-11-29,MO2401-P-5000,buy,1,2.0,2.2,18.0,20.0,target_increase
P-core,2023-12-14,MO2401-P-5000,buy,2,2.2,2.4000000000000004,36.0,40.0,target_increase
P-core,2023-12-22,MO2401-P-5000,sell,33,2.8,2.5999999999999996,594.0,660.0,contract_switch
P-core,2023-12-22,MO2402-P-5100,buy,18,14.0,14.7,324.0,1260.0000000000002,new_contract
P-core,2023-12-25,MO2402-P-5100,buy,1,13.2,13.86,18.0,66.0,target_increase
P-core,2023-12-28,MO2402-P-5100,sell,19,7.4,7.03,342.0,703.0000000000001,contract_switch
P-core,2023-12-28,MO2402-P-5000,buy,18,4.6,4.83,324.0,413.99999999999994,new_contract
P-core,2023-12-29,MO2402-P-5000,buy,5,3.8,4.0,90.0,100.0,target_increase
P-core,2024-01-02,MO2402-P-5000,buy,2,3.8,4.0,36.0,40.0,target_increase
P-core,2024-01-04,MO2402-P-5000,buy,1,5.0,5.25,18.0,25.0,target_increase
P-core,2024-01-10,MO2402-P-5000,sell,26,31.6,30.020000000000003,468.0,4108.0,contract_switch
P-core,2024-01-10,MO2402-P-4950,buy,12,26.6,27.93,216.0,1596.0,new_contract
P-core,2024-01-11,MO2402-P-4950,buy,3,14.6,15.33,54.0,219.0,target_increase
P-core,2024-01-12,MO2402-P-4950,buy,3,15.6,16.38,54.0,234.0,target_increase
P-core,2024-01-19,MO2402-P-4950,sell,18,52.4,49.78,324.0,4716.0,contract_switch
P-core,2024-01-19,MO2403-P-4850,buy,10,72.6,76.22999999999999,180.0,3629.9999999999995,new_contract
P-core,2024-01-22,MO2403-P-4850,sell,10,328.2,311.78999999999996,180.0,16410.0,contract_switch
P-core,2024-01-22,MO2403-P-4800,buy,11,298.2,313.11,198.0,16401.0,new_contract
P-core,2024-01-23,MO2403-P-4800,sell,11,153.8,146.11,198.0,8459.000000000002,contract_switch
P-core,2024-01-23,MO2403-P-4750,buy,7,139.4,146.37,126.0,4879.000000000001,new_contract
P-core,2024-01-24,MO2403-P-4750,sell,7,101.2,96.14,126.0,3542.0,contract_switch
P-core,2024-01-24,MO2403-P-4500,buy,10,49.6,52.08,180.0,2480.0000000000005,new_contract
P-core,2024-01-25,MO2403-P-4500,buy,4,20.6,21.630000000000003,72.0,412.0,target_increase
P-core,2024-01-26,MO2403-P-4500,buy,3,25.0,26.25,54.0,375.0,target_increase
P-core,2024-02-01,MO2403-P-4500,sell,17,156.6,148.76999999999998,306.0,13311.000000000002,contract_switch
P-core,2024-02-01,MO2403-P-4450,buy,9,134.8,141.54000000000002,162.0,6066.000000000001,new_contract
P-core,2024-02-02,MO2403-P-4450,sell,9,220.8,209.76000000000002,162.0,9936.000000000002,contract_switch
P-core,2024-02-02,MO2403-P-4300,buy,10,154.8,162.54000000000002,180.0,7740.000000000001,new_contract
P-core,2024-02-05,MO2403-P-4300,sell,10,434.2,412.49,180.0,21710.000000000004,contract_switch
P-core,2024-02-05,MO2403-P-4250,buy,10,405.4,425.66999999999996,180.0,20270.0,new_contract
P-core,2024-02-06,MO2403-P-4250,sell,10,131.6,125.02,180.0,6580.0,contract_switch
P-core,2024-02-06,MO2403-P-4100,buy,7,93.0,97.65,126.0,3255.0000000000005,new_contract
P-core,2024-02-07,MO2403-P-4100,sell,7,48.2,45.790000000000006,126.0,1687.0,contract_switch
P-core,2024-02-07,MO2403-P-3850,buy,14,24.6,25.830000000000002,252.0,1722.0000000000002,new_contract
P-core,2024-02-08,MO2403-P-3850,buy,3,8.0,8.4,54.0,120.00000000000001,target_increase
P-core,2024-02-19,MO2403-P-3850,buy,1,4.4,4.62,18.0,22.000000000000004,target_increase
P-core,2024-02-20,MO2403-P-3850,sell,18,2.6,2.4,324.0,360.0,contract_switch
P-core,2024-02-20,MO2404-P-3850,buy,17,9.4,9.870000000000001,306.0,799.0,new_contract
P-core,2024-02-21,MO2404-P-3850,buy,3,9.8,10.290000000000001,54.0,147.00000000000003,target_increase
P-core,2024-02-26,MO2404-P-3850,buy,3,4.8,5.04,54.0,72.0,target_increase
P-core,2024-02-28,MO2404-P-3850,buy,1,5.8,6.09,18.0,28.999999999999996,target_increase
P-core,2024-03-01,MO2404-P-3850,buy,1,2.8,3.0,18.0,20.0,target_increase
P-core,2024-03-11,MO2404-P-3850,buy,1,1.6,1.8,18.0,20.0,target_increase
P-core,2024-03-12,MO2404-P-3850,buy,3,1.2,1.4,54.0,60.00000000000001,target_increase
P-core,2024-03-13,MO2404-P-3850,buy,3,1.0,1.2,54.0,60.00000000000001,target_increase
P-core,2024-03-14,MO2404-P-3850,buy,6,1.0,1.2,108.0,120.00000000000001,target_increase
P-core,2024-03-19,MO2404-P-3850,buy,12,0.8,1.0,216.0,240.00000000000003,target_increase
P-core,2024-03-21,MO2404-P-3850,sell,50,0.8,0.6000000000000001,900.0,1000.0,contract_switch
P-core,2024-03-21,MO2405-P-4500,buy,18,5.6,5.88,324.0,503.9999999999999,new_contract
P-core,2024-03-22,MO2405-P-4500,buy,1,7.4,7.7700000000000005,18.0,37.00000000000001,target_increase
P-core,2024-04-03,MO2405-P-4500,buy,3,9.4,9.870000000000001,54.0,141.0,target_increase
P-core,2024-04-23,MO2405-P-4500,sell,22,9.6,9.12,396.0,1055.9999999999998,contract_switch
P-core,2024-04-23,MO2406-P-3800,buy,23,7.6,7.9799999999999995,414.0,874.0,new_contract
P-core,2024-04-25,MO2406-P-3800,buy,1,3.2,3.4000000000000004,18.0,20.0,target_increase
P-core,2024-04-26,MO2406-P-3800,buy,1,1.8,2.0,18.0,20.0,target_increase
P-core,2024-04-29,MO2406-P-3800,buy,4,1.8,2.0,72.0,80.0,target_increase
P-core,2024-04-30,MO2406-P-3800,buy,4,1.6,1.8,72.0,80.0,target_increase
P-core,2024-05-07,MO2406-P-3800,buy,2,1.8,2.0,36.0,40.0,target_increase
P-core,2024-05-08,MO2406-P-3800,buy,2,1.6,1.8,36.0,40.0,target_increase
P-core,2024-05-10,MO2406-P-3800,buy,1,1.4,1.5999999999999999,18.0,20.0,target_increase
P-core,2024-05-21,MO2406-P-3800,buy,2,0.8,1.0,36.0,40.0,target_increase
P-core,2024-05-22,MO2406-P-3800,buy,6,0.8,1.0,108.0,120.00000000000001,target_increase
P-core,2024-05-23,MO2406-P-3800,sell,46,0.8,0.6000000000000001,828.0,920.0000000000001,contract_switch
P-core,2024-05-23,MO2407-P-4650,buy,17,22.2,23.31,306.0,1887.0,new_contract
P-core,2024-06-11,MO2407-P-4650,sell,17,25.8,24.51,306.0,2193.0,contract_switch
P-core,2024-06-11,MO2407-P-4600,buy,11,20.0,21.0,198.0,1100.0,new_contract
P-core,2024-06-12,MO2407-P-4600,buy,3,19.0,19.95,54.0,285.0,target_increase
P-core,2024-06-13,MO2407-P-4600,buy,1,17.2,18.06,18.0,86.0,target_increase
P-core,2024-06-19,MO2407-P-4600,buy,5,8.4,8.82,90.0,210.0,target_increase
P-core,2024-06-20,MO2407-P-4600,sell,20,17.2,16.34,360.0,1720.0,contract_switch
P-core,2024-06-20,MO2408-P-4600,buy,11,49.2,51.660000000000004,198.0,2706.0000000000005,new_contract
P-core,2024-06-24,MO2408-P-4600,sell,11,97.0,92.15,198.0,5335.000000000001,contract_switch
P-core,2024-06-24,MO2408-P-4550,buy,10,79.6,83.58,180.0,3979.9999999999995,new_contract
P-core,2024-06-25,MO2408-P-4550,sell,10,92.8,88.16,180.0,4640.0,contract_switch
P-core,2024-06-25,MO2408-P-4500,buy,10,79.2,83.16,180.0,3960.0,new_contract
P-core,2024-06-26,MO2408-P-4500,sell,10,39.8,37.809999999999995,180.0,1989.9999999999998,contract_switch
P-core,2024-06-26,MO2408-P-4350,buy,12,22.0,23.1,216.0,1320.0,new_contract
P-core,2024-06-27,MO2408-P-4350,buy,1,37.4,39.269999999999996,18.0,187.0,target_increase
P-core,2024-07-08,MO2408-P-4350,sell,13,53.0,50.35,234.0,3445.0000000000005,contract_switch
P-core,2024-07-08,MO2408-P-4250,buy,15,33.0,34.65,270.0,2475.0000000000005,new_contract
P-core,2024-07-10,MO2408-P-4250,sell,15,23.8,22.61,270.0,1785.0000000000002,contract_switch
P-core,2024-07-10,MO2408-P-4200,buy,14,18.0,18.9,252.0,1260.0,new_contract
P-core,2024-07-12,MO2408-P-4200,buy,3,9.8,10.290000000000001,54.0,147.00000000000003,target_increase
P-core,2024-07-22,MO2408-P-4200,buy,1,4.2,4.41,18.0,21.000000000000004,target_increase
P-core,2024-07-23,MO2408-P-4200,sell,18,12.6,11.969999999999999,324.0,1134.0,contract_switch
P-core,2024-07-23,MO2409-P-3800,buy,17,9.2,9.66,306.0,781.9999999999999,new_contract
P-core,2024-07-29,MO2409-P-3800,buy,1,6.6,6.93,18.0,33.0,target_increase
P-core,2024-08-01,MO2409-P-3800,buy,5,2.6,2.8000000000000003,90.0,100.0,target_increase
P-core,2024-08-13,MO2409-P-3800,buy,1,3.4,3.6,18.0,20.0,target_increase
P-core,2024-08-19,MO2409-P-3800,buy,1,2.0,2.2,18.0,20.0,target_increase
P-core,2024-08-20,MO2409-P-3800,buy,4,3.0,3.2,72.0,80.0,target_increase
P-core,2024-08-22,MO2409-P-3800,sell,29,3.2,3.0,522.0,580.0000000000001,contract_switch
P-core,2024-08-22,MO2410-P-4100,buy,12,35.0,36.75,216.0,2100.0,new_contract
P-core,2024-08-23,MO2410-P-4100,sell,12,30.4,28.88,216.0,1824.0000000000002,contract_switch
P-core,2024-08-23,MO2410-P-4050,buy,12,21.8,22.89,216.0,1308.0000000000002,new_contract
P-core,2024-08-26,MO2410-P-4050,sell,12,20.0,19.0,216.0,1200.0,contract_switch
P-core,2024-08-26,MO2410-P-4000,buy,13,15.0,15.75,234.0,975.0,new_contract
P-core,2024-08-27,MO2410-P-4000,buy,1,19.4,20.369999999999997,18.0,97.0,target_increase
P-core,2024-09-02,MO2410-P-4000,buy,2,11.0,11.55,36.0,110.00000000000001,target_increase
P-core,2024-09-04,MO2410-P-4000,buy,1,9.0,9.45,18.0,45.0,target_increase
P-core,2024-09-19,MO2410-P-4000,sell,17,5.2,4.94,306.0,442.0,contract_switch
P-core,2024-09-19,MO2411-P-3950,buy,12,23.0,24.15,216.0,1380.0,new_contract
P-core,2024-09-23,MO2411-P-3950,buy,2,17.6,18.48,36.0,176.00000000000003,target_increase
P-core,2024-09-25,MO2411-P-3950,buy,3,3.6,3.8000000000000003,54.0,60.00000000000001,target_increase
P-core,2024-09-27,MO2411-P-3950,buy,7,1.4,1.5999999999999999,126.0,140.0,target_increase
P-core,2024-09-30,MO2411-P-3950,buy,6,2.8,3.0,108.0,120.00000000000001,target_increase
P-core,2024-10-21,MO2411-P-3950,buy,4,1.8,2.0,72.0,80.0,target_increase
P-core,2024-10-22,MO2411-P-3950,sell,34,1.2,1.0,612.0,680.0000000000001,contract_switch
P-core,2024-10-22,MO2412-P-3800,buy,21,2.8,3.0,378.0,420.0,new_contract
P-core,2024-10-23,MO2412-P-3800,buy,2,2.4,2.6,36.0,40.0,target_increase
P-core,2024-10-24,MO2412-P-3800,buy,1,2.2,2.4000000000000004,18.0,20.0,target_increase
P-core,2024-10-28,MO2412-P-3800,buy,2,2.0,2.2,36.0,40.0,target_increase
P-core,2024-10-30,MO2412-P-3800,buy,1,2.2,2.4000000000000004,18.0,20.0,target_increase
P-core,2024-10-31,MO2412-P-3800,buy,1,2.0,2.2,18.0,20.0,target_increase
P-core,2024-11-01,MO2412-P-3800,buy,1,1.8,2.0,18.0,20.0,target_increase
P-core,2024-11-07,MO2412-P-3800,buy,1,2.6,2.8000000000000003,18.0,20.0,target_increase
P-core,2024-11-08,MO2412-P-3800,buy,4,3.0,3.2,72.0,80.0,target_increase
P-core,2024-11-11,MO2412-P-3800,buy,2,2.4,2.6,36.0,40.0,target_increase
P-core,2024-11-13,MO2412-P-3800,buy,3,2.0,2.2,54.0,60.00000000000001,target_increase
