variant,date,contract,side,qty,center_close,exec_price,fee,slippage_cash,reason
P-core,2022-07-25,MO2209-P-6300,buy,13,79.4,83.37,234.0,5161.000000000001,new_contract
P-core,2022-07-27,MO2209-P-6300,sell,13,45.4,43.129999999999995,234.0,2951.0,contract_switch
P-core,2022-07-27,MO2209-P-6200,buy,15,36.4,38.22,270.0,2730.0,new_contract
P-core,2022-08-01,MO2209-P-6200,buy,1,32.6,34.230000000000004,18.0,163.0,target_increase
P-core,2022-08-08,MO2209-P-6200,buy,1,29.2,30.66,18.0,146.0,target_increase
P-core,2022-08-10,MO2209-P-6200,buy,1,28.8,30.240000000000002,18.0,144.00000000000003,target_increase
P-core,2022-08-12,MO2209-P-6200,buy,2,18.4,19.32,36.0,184.0,target_increase
P-core,2022-08-15,MO2209-P-6200,buy,2,12.0,12.6,36.0,120.00000000000001,target_increase
P-core,2022-08-17,MO2209-P-6200,buy,3,7.2,7.5600000000000005,54.0,108.0,target_increase
P-core,2022-08-18,MO2209-P-6200,buy,3,8.0,8.4,54.0,120.00000000000001,target_increase
P-core,2022-08-23,MO2209-P-6200,sell,28,5.6,5.319999999999999,504.0,783.9999999999999,contract_switch
P-core,2022-08-23,MO2210-P-6200,buy,17,26.0,27.3,306.0,2210.0,new_contract
P-core,2022-08-24,MO2210-P-6200,buy,1,48.2,50.61,18.0,241.0,target_increase
P-core,2022-09-02,MO2210-P-6200,sell,18,65.6,62.31999999999999,324.0,5904.0,contract_switch
P-core,2022-09-02,MO2210-P-6000,buy,14,41.4,43.47,252.0,2897.9999999999995,new_contract
P-core,2022-09-06,MO2210-P-6000,buy,1,22.4,23.52,18.0,111.99999999999999,target_increase
P-core,2022-09-07,MO2210-P-6000,buy,3,16.0,16.8,54.0,240.00000000000003,target_increase
P-core,2022-09-13,MO2210-P-6000,buy,2,11.8,12.39,36.0,118.00000000000001,target_increase
P-core,2022-09-19,MO2210-P-6000,sell,20,67.6,64.22,360.0,6759.999999999999,contract_switch
P-core,2022-09-19,MO2210-P-5900,buy,13,48.6,51.03,234.0,3159.0000000000005,new_contract
P-core,2022-09-20,MO2210-P-5900,sell,13,35.8,34.01,234.0,2327.0,contract_switch
P-core,2022-09-20,MO2210-P-5800,buy,14,25.0,26.25,252.0,1750.0,new_contract
P-core,2022-09-21,MO2210-P-5800,sell,14,23.6,22.42,252.0,1652.0000000000002,contract_switch
P-core,2022-09-21,MO2210-P-5700,buy,16,17.6,18.48,288.0,1408.0000000000002,new_contract
P-core,2022-09-22,MO2210-P-5700,sell,16,14.6,13.87,288.0,1168.0,contract_switch
P-core,2022-09-22,MO2211-P-5700,buy,12,54.0,56.7,216.0,3240.0000000000005,new_contract
P-core,2022-09-23,MO2211-P-5700,buy,1,64.8,68.03999999999999,18.0,324.0,target_increase
P-core,2022-09-28,MO2211-P-5700,sell,13,74.8,71.06,234.0,4862.0,contract_switch
P-core,2022-09-28,MO2211-P-5600,buy,15,58.6,61.53,270.0,4395.0,new_contract
P-core,2022-09-30,MO2211-P-5600,sell,15,72.8,69.16,270.0,5460.0,contract_switch
P-core,2022-09-30,MO2211-P-5500,buy,16,58.0,60.9,288.0,4640.000000000001,new_contract
P-core,2022-10-12,MO2211-P-5500,sell,16,36.4,34.58,288.0,2912.0,contract_switch
P-core,2022-10-12,MO2211-P-5300,buy,15,20.0,21.0,270.0,1500.0,new_contract
P-core,2022-10-13,MO2211-P-5300,buy,2,11.6,12.18,36.0,115.99999999999999,target_increase
P-core,2022-10-17,MO2211-P-5300,buy,6,5.6,5.88,108.0,167.99999999999997,target_increase
P-core,2022-10-19,MO2211-P-5300,buy,2,6.4,6.720000000000001,36.0,64.00000000000001,target_increase
P-core,2022-10-20,MO2211-P-5300,sell,25,5.8,5.51,450.0,724.9999999999999,contract_switch
P-core,2022-10-20,MO2212-P-5300,buy,16,16.8,17.64,288.0,1344.0000000000002,new_contract
P-core,2022-10-21,MO2212-P-5300,buy,2,22.0,23.1,36.0,220.00000000000003,target_increase
P-core,2022-10-24,MO2212-P-5300,buy,1,28.6,30.03,18.0,143.00000000000003,target_increase
P-core,2022-10-27,MO2212-P-5300,buy,2,17.6,18.48,36.0,176.00000000000003,target_increase
P-core,2022-11-02,MO2212-P-5300,buy,3,9.6,10.08,54.0,144.0,target_increase
P-core,2022-11-07,MO2212-P-5300,buy,5,3.4,3.6,90.0,100.0,target_increase
P-core,2022-11-14,MO2212-P-5300,buy,4,3.8,4.0,72.0,80.0,target_increase
P-core,2022-11-18,MO2212-P-5300,buy,4,2.4,2.6,72.0,80.0,target_increase
P-core,2022-11-22,MO2212-P-5300,sell,37,2.0,1.8,666.0,740.0,contract_switch
P-core,2022-11-22,MO2301-P-5600,buy,18,15.6,16.38,324.0,1404.0,new_contract
P-core,2022-11-30,MO2301-P-5600,buy,1,15.0,15.75,18.0,75.0,target_increase
P-core,2022-12-05,MO2301-P-5600,buy,2,5.8,6.09,36.0,57.99999999999999,target_increase
P-core,2022-12-06,MO2301-P-5600,buy,3,5.8,6.09,54.0,86.99999999999999,target_increase
P-core,2022-12-14,MO2301-P-5600,buy,1,4.8,5.04,18.0,24.0,target_increase
P-core,2022-12-19,MO2301-P-5600,buy,8,6.8,7.14,144.0,272.0,target_increase
P-core,2022-12-22,MO2301-P-5600,sell,33,12.0,11.4,594.0,1980.0000000000005,contract_switch
P-core,2022-12-22,MO2302-P-5700,buy,16,31.0,32.55,288.0,2480.0,new_contract
P-core,2022-12-23,MO2302-P-5700,sell,16,42.6,40.47,288.0,3408.0000000000005,contract_switch
P-core,2022-12-23,MO2302-P-5600,buy,16,31.6,33.18,288.0,2528.0,new_contract
P-core,2022-12-26,MO2302-P-5600,sell,16,16.4,15.579999999999998,288.0,1312.0,contract_switch
P-core,2022-12-26,MO2302-P-5500,buy,15,11.6,12.18,270.0,869.9999999999999,new_contract
P-core,2022-12-27,MO2302-P-5500,buy,3,9.6,10.08,54.0,144.0,target_increase
P-core,2022-12-28,MO2302-P-5500,buy,5,10.4,10.92,90.0,260.0,target_increase
P-core,2023-01-04,MO2302-P-5500,buy,4,4.8,5.04,72.0,96.0,target_increase
P-core,2023-01-09,MO2302-P-5500,buy,1,4.2,4.41,18.0,21.000000000000004,target_increase
P-core,2023-01-10,MO2302-P-5500,buy,2,4.4,4.62,36.0,44.00000000000001,target_increase
P-core,2023-01-11,MO2302-P-5500,buy,1,4.2,4.41,18.0,21.000000000000004,target_increase
P-core,2023-01-16,MO2302-P-5500,buy,4,2.4,2.6,72.0,80.0,target_increase
P-core,2023-01-18,MO2302-P-5500,buy,3,1.6,1.8,54.0,60.00000000000001,target_increase
