strategy,window,available,reason,rows,start,end,ann_return,ann_vol,sharpe,max_dd,worst_1d,worst_5d,worst_20d,worst_60d,put_cost_total,avg_put_qty,max_put_qty,min_cash_weight,dd_peak,dd_trough
core_only_independent_replay,full,True,,985.0,2022-07-25,2026-08-14,0.47005748388136426,0.292660806273659,1.4621455350062773,-0.2588978990576718,-0.14848959612139356,-0.18014835931584733,-0.20516345643420317,-0.18601057048790218,0.00885,0.8370558375634518,2.0,0.27473772350349834,2024-03-21,2024-09-18
core_only_independent_replay,last_10y,False,real_IM_MO_history_shorter_than_requested_window,,,,,,,,,,,,,,,,,
core_only_independent_replay,last_5y,False,real_IM_MO_history_shorter_than_requested_window,,,,,,,,,,,,,,,,,
core_only_independent_replay,last_3y,True,,727.0,2023-08-15,2026-08-14,0.6043941437563309,0.3250262434978019,1.616290605348223,-0.25889789905767135,-0.14848959612139356,-0.18014835931584733,-0.20516345643420317,-0.18601057048790212,0.006150000000000001,0.8473177441540578,2.0,0.27473772350349834,2024-03-21,2024-09-18
core_only_independent_replay,last_1y,True,,242.0,2025-08-15,2026-08-14,0.6508795141059005,0.22657110035065142,2.327216389887889,-0.10720990716659418,-0.04614668982815946,-0.07957836471499316,-0.0527571963872752,-0.03540760598307497,0.0018750000000000001,0.6363636363636364,2.0,0.35433698138265174,2025-08-26,2025-09-04
core_plus_momentum_independent_replay,full,True,,985.0,2022-07-25,2026-08-14,0.4837138142012969,0.28709046102787034,1.5172885946410226,-0.2329841333734436,-0.14848959612139356,-0.18014835931584738,-0.20516345643420314,-0.17965765655861698,0.013525000000000002,1.050253807106599,4.0,0.27473772350349834,2025-03-18,2025-04-08
core_plus_momentum_independent_replay,last_10y,False,real_IM_MO_history_shorter_than_requested_window,,,,,,,,,,,,,,,,,
core_plus_momentum_independent_replay,last_5y,False,real_IM_MO_history_shorter_than_requested_window,,,,,,,,,,,,,,,,,
core_plus_momentum_independent_replay,last_3y,True,,727.0,2023-08-15,2026-08-14,0.6228523355595597,0.3188295642139033,1.6775637447370002,-0.2329841333734436,-0.14848959612139356,-0.18014835931584738,-0.20516345643420317,-0.17965765655861698,0.0095875,1.077372764786795,4.0,0.27473772350349834,2025-03-18,2025-04-08
core_plus_momentum_independent_replay,last_1y,True,,242.0,2025-08-15,2026-08-14,0.6665836237223461,0.22186234975433117,2.4146213070267057,-0.10720990716659418,-0.04614668982815946,-0.07957836471499316,-0.0527571963872752,-0.012619318537472363,0.0030250000000000008,0.8997933884297521,4.0,0.35433698138265174,2025-08-26,2025-09-04
