product,window,available,reason,rows,start,end,ann_return,ann_vol,sharpe,max_dd,final_nav
IC,full,True,,2756.0,2015-04-16,2026-08-14,0.2373439638670407,0.17548693608977325,1.2996501239386011,-0.1609224886459042,10.26886573158853
IC,10y,True,,2427.0,2016-08-16,2026-08-14,0.20617519983970056,0.16224618301983823,1.234613514938869,-0.15067347541546083,6.082185124129299
IC,5y,True,,1210.0,2021-08-17,2026-08-14,0.3042030975428023,0.19141952114518024,1.4799413488094257,-0.1506734754154595,3.5796468126007372
IC,3y,True,,727.0,2023-08-15,2026-08-14,0.49195292979050254,0.22615810294510377,1.8779356738150588,-0.11470492430774692,3.171536659996612
IC,1y,True,,242.0,2025-08-15,2026-08-14,0.5195294505797057,0.15102679426734486,2.8475247431274884,-0.058942126040334886,1.4945086819165119
IM,real_full,True,,985.0,2022-07-25,2026-08-14,0.4837138142012951,0.2870904610278699,1.5172885946410228,-0.2329841333734436,4.674783051366469
IM,3y,True,,727.0,2023-08-15,2026-08-14,0.6228523355595565,0.3188295642139028,1.6775637447370004,-0.2329841333734436,4.042390273354077
IM,1y,True,,242.0,2025-08-15,2026-08-14,0.6665836237223384,0.2218623497543306,2.414621307026706,-0.10720990716659407,1.6331438768156203
IM,5y,False,real_IM_MO_history_shorter_than_requested_window,,,,,,,,
IM,10y,False,real_IM_MO_history_shorter_than_requested_window,,,,,,,,
