product,window,start,end,rows,ann_return,ann_vol,sharpe,max_dd,final_nav,avg_momentum_weight,avg_momentum_turnover,avg_momentum_cost_rate
IC,full,2015-04-16,2026-08-14,2756,0.2373439638670407,0.1754869360897737,1.2996501239385965,-0.16092248864590464,10.268865731588518,0.2705007256894049,0.03610304789550073,3.0206821480406387e-06
IC,10y,2016-08-16,2026-08-14,2427,0.20617519983970012,0.16224618301983862,1.234613514938864,-0.1506734754154606,6.082185124129283,0.253811289658014,0.0319324268644417,2.801812937783272e-06
IC,5y,2021-08-17,2026-08-14,1210,0.30420309754280384,0.19141952114518063,1.4799413488094217,-0.1506734754154595,3.5796468126007572,0.2754132231404959,0.032231404958677684,2.9338842975206615e-06
IC,3y,2023-08-15,2026-08-14,727,0.4919529297905041,0.22615810294510416,1.8779356738150546,-0.11470492430774715,3.171536659996621,0.3177441540577717,0.03610729023383769,3.2840440165061897e-06
IC,1y,2025-08-15,2026-08-14,242,0.5195294505797148,0.15102679426734542,2.847524743127488,-0.058942126040334775,1.4945086819165205,0.4287190082644628,0.03925619834710744,4.028925619834711e-06
IM,full,2015-04-16,2026-08-14,2756,0.30545096793760074,0.22166892549806316,1.3131650553713945,-0.2656819493646868,18.450848096084773,0.3316400580551524,0.0783744557329463,5.7148040638606676e-06
IM,10y,2016-08-16,2026-08-14,2427,0.3165918819641387,0.22074867448155758,1.3561312537706751,-0.25889789905767113,14.139321133118676,0.3323032550473836,0.07416563658838071,5.5418211784095595e-06
IM,5y,2021-08-17,2026-08-14,1210,0.46730038973560406,0.27437499063403226,1.5342443094414704,-0.25889789905767135,6.303121428692167,0.32603305785123965,0.06363636363636363,5e-06
IM,3y,2023-08-15,2026-08-14,727,0.6043941437563325,0.32502624349780196,1.616290605348225,-0.2588978990576718,3.911164991022504,0.3218707015130674,0.0639614855570839,4.917469050894086e-06
IM,1y,2025-08-15,2026-08-14,242,0.6508795141059023,0.2265711003506515,2.3272163898878953,-0.10720990716659418,1.6183627706638086,0.38636363636363635,0.06198347107438017,5.1652892561983475e-06
IM,real_im_mo,2022-07-25,2026-08-14,985,0.47005748388136537,0.2926608062736591,1.4621455350062802,-0.25889789905767135,4.508838635762629,0.31573604060913707,0.06700507614213198,5.126903553299493e-06
